total_earned;;;;;;
21840;;;;;;
15847;;;;;;
25232;;;;;;
14914;;;;;;
15047;;;;;;
12459;;;;;;
12459;;;;;;
16423;;;;;;
15938;;;;;;
13762;;;;;;
12027;;;;;;
20807;;;;;;
18889;;;;;;
16048;;;;;;
21918;;;;;;
19552;;;;;;
14387;;;;;;
17533;;;;;;
15390;;;;;;
19489;;;;;;
14499;;;;;;
18052;;;;;;
14916;;;;;;
23296;;;;;;
20171;;;;;;
19695;;;;;;
16412;;;;;;
17484;;;;;;
17339;;;;;;
14005;;;;;;
13482;;;;;;
