total_earned;;;;;;
229;;;;;;
191;;;;;;
184;;;;;;
320;;;;;;
228;;;;;;
208;;;;;;
249;;;;;;
224;;;;;;
285;;;;;;
312;;;;;;
352;;;;;;
353;;;;;;
419;;;;;;
490;;;;;;
652;;;;;;
897;;;;;;
958;;;;;;
1340;;;;;;
1810;;;;;;
1932;;;;;;
1954;;;;;;
2156;;;;;;
2535;;;;;;
3185;;;;;;
3286;;;;;;
3519;;;;;;
3730;;;;;;
3775;;;;;;
3634;;;;;;
3609;;;;;;
3895;;;;;;
3942;;;;;;
3727;;;;;;
3696;;;;;;
3553;;;;;;
3794;;;;;;
4151;;;;;;
4184;;;;;;
5095;;;;;;
5659;;;;;;
5703;;;;;;
