Quarter;total_earned;;;;;
20201;5981;;;;;
20202;5795;;;;;
20203;6096;;;;;
20204;6155;;;;;
20211;6738;;;;;
20212;6330;;;;;
20213;5824;;;;;
20214;5613;;;;;
20221;5496;;;;;
20222;5294;;;;;
20223;5352;;;;;
20224;5864;;;;;
