total_earned;;;;;;
1716;;;;;;
2021;;;;;;
2509;;;;;;
1700;;;;;;
2458;;;;;;
7359;;;;;;
6449;;;;;;
4982;;;;;;
5586;;;;;;
6090;;;;;;
6408;;;;;;
5504;;;;;;
7492;;;;;;
6599;;;;;;
