,0
36,"['Granularity:', 'quarter', 'Historical sum:', 982368, 'Historical length:', 12, 'Historical average:', 81864.0, 'Theta_sum:', 558371.0, 'Theta average:', 62041.0]"
37,"['Granularity:', 'quarter', 'Historical sum:', 380494, 'Historical length:', 3, 'Historical average:', 126831.0, 'Theta_sum:', 975077.0, 'Theta average:', 108342.0]"
38,"['Granularity:', 'quarter', 'Historical sum:', 24095046, 'Historical length:', 10, 'Historical average:', 2409505.0, 'Theta_sum:', 41919718.0, 'Theta average:', 4657746.0]"
39,"['Granularity:', 'quarter', 'Historical sum:', 3968041, 'Historical length:', 22, 'Historical average:', 180366.0, 'Theta_sum:', 1576751.0, 'Theta average:', 175195.0]"
40,"['Granularity:', 'quarter', 'Historical sum:', 905536, 'Historical length:', 4, 'Historical average:', 226384.0, 'Theta_sum:', 1575816.0, 'Theta average:', 175091.0]"
41,"['Granularity:', 'quarter', 'Historical sum:', 4801659, 'Historical length:', 9, 'Historical average:', 533518.0, 'Theta_sum:', 3982713.0, 'Theta average:', 442524.0]"
42,"['Granularity:', 'quarter', 'Historical sum:', 5587217, 'Historical length:', 31, 'Historical average:', 180233.0, 'Theta_sum:', 927374.0, 'Theta average:', 103042.0]"
43,"['Granularity:', 'quarter', 'Historical sum:', 48446194, 'Historical length:', 21, 'Historical average:', 2306962.0, 'Theta_sum:', 22512868.0, 'Theta average:', 2501430.0]"
44,"['Granularity:', 'quarter', 'Historical sum:', 443781, 'Historical length:', 6, 'Historical average:', 73964.0, 'Theta_sum:', 752311.0, 'Theta average:', 83590.0]"
45,"['Granularity:', 'quarter', 'Historical sum:', 12766877, 'Historical length:', 36, 'Historical average:', 354635.0, 'Theta_sum:', 3303012.0, 'Theta average:', 367001.0]"
46,"['Granularity:', 'quarter', 'Historical sum:', 7044091, 'Historical length:', 33, 'Historical average:', 213457.0, 'Theta_sum:', 1492238.0, 'Theta average:', 165804.0]"
47,"['Granularity:', 'quarter', 'Historical sum:', 10042497, 'Historical length:', 18, 'Historical average:', 557916.0, 'Theta_sum:', 4557243.0, 'Theta average:', 506360.0]"
48,"['Granularity:', 'quarter', 'Historical sum:', 4283417, 'Historical length:', 15, 'Historical average:', 285561.0, 'Theta_sum:', 2495000.0, 'Theta average:', 277222.0]"
49,"['Granularity:', 'quarter', 'Historical sum:', 7421619, 'Historical length:', 6, 'Historical average:', 1236936.0, 'Theta_sum:', 12036387.0, 'Theta average:', 1337376.0]"
50,"['Granularity:', 'quarter', 'Historical sum:', 1103125, 'Historical length:', 4, 'Historical average:', 275781.0, 'Theta_sum:', 2484588.0, 'Theta average:', 276065.0]"
51,"['Granularity:', 'quarter', 'Historical sum:', 90108868, 'Historical length:', 26, 'Historical average:', 3465726.0, 'Theta_sum:', 29092113.0, 'Theta average:', 3232457.0]"
52,"['Granularity:', 'quarter', 'Historical sum:', 12427045, 'Historical length:', 22, 'Historical average:', 564866.0, 'Theta_sum:', 6196961.0, 'Theta average:', 688551.0]"
53,"['Granularity:', 'quarter', 'Historical sum:', 11504065, 'Historical length:', 31, 'Historical average:', 371099.0, 'Theta_sum:', 3135214.0, 'Theta average:', 348357.0]"
54,"['Granularity:', 'quarter', 'Historical sum:', 5823394, 'Historical length:', 20, 'Historical average:', 291170.0, 'Theta_sum:', 1851502.0, 'Theta average:', 205722.0]"
55,"['Granularity:', 'quarter', 'Historical sum:', 663087, 'Historical length:', 10, 'Historical average:', 66309.0, 'Theta_sum:', 207139.0, 'Theta average:', 23015.0]"
56,"['Granularity:', 'quarter', 'Historical sum:', 14669979, 'Historical length:', 6, 'Historical average:', 2444996.0, 'Theta_sum:', 21352673.0, 'Theta average:', 2372519.0]"
57,"['Granularity:', 'quarter', 'Historical sum:', 12079808, 'Historical length:', 5, 'Historical average:', 2415962.0, 'Theta_sum:', 116062523.0, 'Theta average:', 12895836.0]"
58,"['Granularity:', 'quarter', 'Historical sum:', 54606508, 'Historical length:', 26, 'Historical average:', 2100250.0, 'Theta_sum:', 17812293.0, 'Theta average:', 1979144.0]"
59,"['Granularity:', 'quarter', 'Historical sum:', 18190394, 'Historical length:', 36, 'Historical average:', 505289.0, 'Theta_sum:', 4242745.0, 'Theta average:', 471416.0]"
60,"['Granularity:', 'quarter', 'Historical sum:', 349784, 'Historical length:', 7, 'Historical average:', 49969.0, 'Theta_sum:', 323657.0, 'Theta average:', 35962.0]"
61,"['Granularity:', 'quarter', 'Historical sum:', 49526092, 'Historical length:', 26, 'Historical average:', 1904850.0, 'Theta_sum:', 15026294.0, 'Theta average:', 1669588.0]"
62,"['Granularity:', 'quarter', 'Historical sum:', 1109409, 'Historical length:', 8, 'Historical average:', 138676.0, 'Theta_sum:', 1169515.0, 'Theta average:', 129946.0]"
63,"['Granularity:', 'quarter', 'Historical sum:', 3064780, 'Historical length:', 24, 'Historical average:', 127699.0, 'Theta_sum:', 1215156.0, 'Theta average:', 135017.0]"
64,"['Granularity:', 'quarter', 'Historical sum:', 30274771, 'Historical length:', 41, 'Historical average:', 738409.0, 'Theta_sum:', 6483795.0, 'Theta average:', 720422.0]"
65,"['Granularity:', 'quarter', 'Historical sum:', 5322346, 'Historical length:', 24, 'Historical average:', 221764.0, 'Theta_sum:', 2087768.0, 'Theta average:', 231974.0]"
66,"['Granularity:', 'quarter', 'Historical sum:', 22626227, 'Historical length:', 41, 'Historical average:', 551859.0, 'Theta_sum:', 6096602.0, 'Theta average:', 677400.0]"
67,"['Granularity:', 'quarter', 'Historical sum:', 4264238, 'Historical length:', 10, 'Historical average:', 426424.0, 'Theta_sum:', 3516531.0, 'Theta average:', 390726.0]"
68,"['Granularity:', 'quarter', 'Historical sum:', 2070810, 'Historical length:', 7, 'Historical average:', 295830.0, 'Theta_sum:', 2639745.0, 'Theta average:', 293305.0]"
69,"['Granularity:', 'quarter', 'Historical sum:', 1348374, 'Historical length:', 4, 'Historical average:', 337094.0, 'Theta_sum:', 3020571.0, 'Theta average:', 335619.0]"
