Reporting Date;Sale Month;Store;Artist;Title;ISRC;UPC;Quantity;Team Percentage;Song/Album;Country of Sale;Songwriter Royalties Withheld;Earnings (USD)
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;69;100;Song;SV;0;0.07686101
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;38;100;Song;PY;0;0.01976400
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;19;100;Song;LB;0;0.05705401
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;139;100;Song;OM;0;0.45381205
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;TN;0;0.00076300
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;16;100;Song;NI;0;0.00206300
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;170;100;Song;LT;0;0.29685820
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;358;100;Song;AE;0;1.08720023
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;407;100;Song;ID;0;0.19343977
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;258;100;Song;HK;0;0.97244081
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;3516;100;Song;CH;0;16.85169467
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;738;100;Song;NZ;0;2.94819596
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;900;100;Song;ZA;0;1.09644277
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;22280;100;Song;DE;0;76.89800366
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;1657;100;Song;TR;0;1.41760526
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;247;100;Song;LU;0;0.95851352
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;637;100;Song;FI;0;3.22027376
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;6507;100;Song;NL;0;26.30803968
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;271;100;Song;PE;0;0.35289538
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;1969;100;Song;BE;0;6.94639275
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;394;100;Song;BG;0;0.74400470
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;1557;100;Song;PT;0;2.16875172
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;430;100;Song;CO;0;0.31713372
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;316;100;Song;CZ;0;0.59782746
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;1687;100;Song;IT;0;3.73098949
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;930;100;Song;RO;0;1.55380051
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;63;100;Song;IS;0;0.31351406
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;4657;100;Song;SE;0;20.73075059
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;143;100;Song;EE;0;0.37446405
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;1672;100;Song;DK;0;8.83120960
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;7928;100;Song;FR;0;27.20935688
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;949;100;Song;CL;0;1.21634425
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;56;100;Song;CY;0;0.17818640
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;626;100;Song;SG;0;1.74102019
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;396;100;Song;PH;0;0.27929243
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;1703;100;Song;MX;0;1.36342905
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;603;100;Song;MY;0;0.59301574
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;176;100;Song;SK;0;0.34286636
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;93;100;Song;VN;0;0.09089245
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;2965;100;Song;BR;0;3.56079715
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;3576;100;Song;ES;0;7.73445412
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;24810;100;Song;CA;0;71.40393273
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;425;100;Song;HU;0;1.02720247
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;MC;0;0.01527688
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;1138;100;Song;PL;0;1.63499311
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;1465;100;Song;AT;0;4.29518195
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;300;100;Song;TW;0;0.37629563
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;2618;100;Song;NO;0;13.43552298
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;443;100;Song;IL;0;1.29754508
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;84;100;Song;LV;0;0.15175780
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;50;100;Song;MT;0;0.18207292
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;196;100;Song;JP;0;0.52230829
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;818;100;Song;IE;0;3.63513837
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;7982;100;Song;AU;0;25.92632925
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;559;100;Song;GR;0;0.82951527
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;297;100;Song;SA;0;0.64495714
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;294;100;Song;TH;0;0.26809369
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;698;100;Song;AR;0;0.56755349
2020-08-25;2020-06;Spotify;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;AD;0;0.01412480
2020-09-18;2019-08;Tidal;FRVRFRIDAY;Maliblue;QZHN31922730;;19;100;Song;PT;0;0.09256996
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;27;100;Song;PT;0;0.02171200
2020-09-18;2019-08;Tidal;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.01288474
2020-09-18;2019-08;Tidal;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00625579
2020-09-18;2019-08;Tidal;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;US;0;0.00966625
2020-09-22;2019-10;Amazon Prime (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;100;100;Song;IN;0;0.14556700
2020-09-23;2020-02;Saavn;FRVRFRIDAY;Maliblue;QZHN31922730;;13;100;Song;US;0;0.00031832
2020-09-23;2020-03;Saavn;FRVRFRIDAY;Maliblue;QZHN31922730;;16;100;Song;US;0;0.00087076
2020-09-10;2020-04;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;21;100;Song;GB;0;0.33642531
2020-09-10;2020-04;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;36;100;Song;GB;0;0.19871045
2020-09-10;2020-04;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GB;0;0.00811736
2020-09-10;2020-04;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GB;0;0.01058706
2020-09-10;2020-04;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;GB;0;0.00210873
2020-09-18;2020-04;Napster;FRVRFRIDAY;Maliblue;QZHN31922730;;28;100;Song;US;0;0.21010535
