total_earned;;;;;;
1985;;;;;;
2528;;;;;;
2095;;;;;;
1929;;;;;;
2211;;;;;;
2276;;;;;;
2582;;;;;;
2736;;;;;;
2525;;;;;;
2625;;;;;;
2443;;;;;;
3784;;;;;;
